descripcion,frecuencia,ubicacion,involucrados_tipo,nivel_riesgo
La verdad es que Un tipo me mandó fotos de un arma y dice que me va a matar a mí y a mi familia. Qué rabia.,SEMANAS,INTERNET,DESCONOCIDO,CRITICO
La verdad es que No me quisieron incluir en el grupo de trabajo de sociales. Ya no aguanto.,PRIMERA_VEZ,SALON,GRUPO,BAJO
"Hola, Me miraron mal al entrar al baño y me dijeron que me fuera. Tengo mucho miedo.",PRIMERA_VEZ,BANOS,GRUPO,BAJO
"Estoy cansado, Un niño me escondió la cartuchera en el recreo como broma pero no me gustó. Ya no aguanto.",PRIMERA_VEZ,DESCANSO,INDIVIDUAL,BAJO
"Estoy cansado, Me agarraron entre varios a la salida y me pegaron patadas. Tengo moretones. No sé qué hacer.",PRIMERA_VEZ,SALIDA,GRUPO,ALTO
"Estoy cansado, Me pusieron un apodo feo hoy en el salón y se rieron.",PRIMERA_VEZ,SALON,DESCONOCIDO,BAJO
Me tiran papeles y basura en el salón casi todos los días. Tengo mucho miedo.,SEMANAS,SALON,INDIVIDUAL,MEDIO
Por favor lean esto. Llevan meses golpeándome en el baño cuando no hay profesores.,SEMANAS,BANOS,GRUPO,ALTO
Un pelao de otro grado me dijo gordo. Ayúdenme.,PRIMERA_VEZ,PASILLOS,DESCONOCIDO,BAJO
Por favor lean esto. Me llamaron ñero en la salida del colegio. Qué rabia.,PRIMERA_VEZ,SALIDA,INDIVIDUAL,BAJO
La verdad es que Un niño me escondió la cartuchera en el recreo como broma pero no me gustó. Qué rabia.,PRIMERA_VEZ,DESCANSO,INDIVIDUAL,BAJO
"Estoy cansado, Llevan varias semanas riéndose de mis zapatos y mi ropa. Ya no quiero salir al descanso. Ayúdenme.",SEMANAS,PASILLOS,GRUPO,MEDIO
Todos los días me esperan en la salida para golpearme y humillarme delante de todos. Qué rabia.,MESES,SALIDA,GRUPO,ALTO
"Estoy cansado, Me amenazaron con pegarme a la salida si no les daba la plata del almuerzo. Ayúdenme.",SEMANAS,DESCANSO,GRUPO,ALTO
"Estoy cansado, Me excluyen de todos los grupos y me dicen cosas feas cada vez que participo en clase. Ayúdenme.",SEMANAS,BANOS,GRUPO,MEDIO
"La verdad es que Ya no aguanto más, llevan meses haciéndome la vida imposible, pegándome y humillándome. He pensado en suicidarme porque nadie me ayuda.",MESES,SALON,GRUPO,CRITICO
"Ayuda, Un niño me escondió la cartuchera en el recreo como broma pero no me gustó. Tengo mucho miedo.",SEMANAS,DESCANSO,INDIVIDUAL,BAJO
"Estoy cansado, Me dañaron el cuaderno de matemáticas y me rayaron la maleta.",PRIMERA_VEZ,SALON,DESCONOCIDO,MEDIO
"Ayuda, Me excluyen de todos los grupos y me dicen cosas feas cada vez que participo en clase. Ya no aguanto.",SEMANAS,SALON,GRUPO,MEDIO
"Hola, Me acorralaron y me quitaron el celular a la fuerza, me pegaron un puño en la cara. Ya no aguanto.",PRIMERA_VEZ,SALIDA,GRUPO,ALTO
"Hola, Crearon una cuenta falsa en Instagram solo para subir fotos mías humillándome e insultando. Ayúdenme.",SEMANAS,INTERNET,DESCONOCIDO,ALTO
La verdad es que Me excluyen de todos los grupos y me dicen cosas feas cada vez que participo en clase. Ayúdenme.,SEMANAS,SALON,GRUPO,MEDIO
"Hola, Ya no aguanto más, llevan meses haciéndome la vida imposible, pegándome y humillándome. He pensado en suicidarme porque nadie me ayuda.",MESES,SALON,GRUPO,CRITICO
"Ayuda, Me amenazaron con una navaja en el baño y me dijeron que si decía algo me mataban. Qué rabia.",PRIMERA_VEZ,BANOS,INDIVIDUAL,CRITICO
"Ayuda, Me dañaron el cuaderno de matemáticas y me rayaron la maleta. No sé qué hacer.",PRIMERA_VEZ,SALON,DESCONOCIDO,MEDIO
La verdad es que Me tiran papeles y basura en el salón casi todos los días. Tengo mucho miedo.,SEMANAS,SALON,GRUPO,MEDIO
"Estoy cansado, Un niño de once me tocó las partes íntimas a la fuerza en el pasillo y me dijo que si hablaba me iba peor. Tengo mucho miedo.",PRIMERA_VEZ,PASILLOS,INDIVIDUAL,CRITICO
"Hola, Un pelao de otro grado me dijo gordo. No sé qué hacer.",PRIMERA_VEZ,PASILLOS,DESCONOCIDO,BAJO
"Estoy cansado, Un niño me escondió la cartuchera en el recreo como broma pero no me gustó. Ya no aguanto.",PRIMERA_VEZ,DESCANSO,INDIVIDUAL,BAJO
Por favor lean esto. Me excluyen de todos los grupos y me dicen cosas feas cada vez que participo en clase. Qué rabia.,SEMANAS,SALON,GRUPO,MEDIO
No me quisieron incluir en el grupo de trabajo de sociales.,SEMANAS,SALON,GRUPO,BAJO
La verdad es que Me miraron mal al entrar al baño y me dijeron que me fuera. Tengo mucho miedo.,PRIMERA_VEZ,BANOS,GRUPO,BAJO
La verdad es que Me miraron mal al entrar al baño y me dijeron que me fuera. Qué rabia.,PRIMERA_VEZ,BANOS,GRUPO,BAJO
Por favor lean esto. Me llamaron ñero en la salida del colegio. Tengo mucho miedo.,PRIMERA_VEZ,SALIDA,INDIVIDUAL,BAJO
Por favor lean esto. Me amenazaron con una navaja en el baño y me dijeron que si decía algo me mataban. No sé qué hacer.,PRIMERA_VEZ,BANOS,INDIVIDUAL,CRITICO
"Hola, Me llamaron ñero en la salida del colegio. Ya no aguanto.",PRIMERA_VEZ,PASILLOS,INDIVIDUAL,BAJO
Por favor lean esto. Me golpearon tan fuerte que perdí el conocimiento y terminé en el hospital. Tienen un cuchillo. Qué rabia.,PRIMERA_VEZ,SALIDA,GRUPO,CRITICO
Por favor lean esto. Un tipo me mandó fotos de un arma y dice que me va a matar a mí y a mi familia. No sé qué hacer.,SEMANAS,INTERNET,DESCONOCIDO,CRITICO
Me empujan disimuladamente en los pasillos todos los días.,SEMANAS,PASILLOS,INDIVIDUAL,MEDIO
"Ayuda, Me tiran papeles y basura en el salón casi todos los días. Tengo mucho miedo.",SEMANAS,SALON,INDIVIDUAL,MEDIO
La verdad es que Me agarraron entre varios a la salida y me pegaron patadas. Tengo moretones.,PRIMERA_VEZ,SALIDA,GRUPO,ALTO
